"STATE","HUC12"
"Maine","010500020104"
"Maine","010500020201"
"Maine","010500020202"
"Maine","010500020203"
"Maine","010500020204"
"Maine","010500020205"
"Maine","010500020301"
"Maine","010500020302"
"Maine","010500020401"
"Maine","010500020402"
"Maine","010500020403"
"Maine","010500020501"
"Maine","010500020502"
"Maine","010500020503"
"Maine","010500020601"
"Maine","010500020602"
"Maine","010500020603"
"Maine","010500020604"
"Maine","010500020701"
"Maine","010500020702"
"Maine","010500020703"
"Maine","010500020801"
"Maine","010500020802"
"Maine","010500020803"
"Maine","010500020804"
"Maine","010500020805"
"Maine","010500020901"
"Maine","010500020902"
"Maine","010500020903"
"Maine","010500020904"
"Maine","010500020905"
"Maine","010500020906"
"Maine","010500020907"
"Maine","010500020908"
"Maine","010500021001"
"Maine","010500021002"
"Maine","010500021003"
"Maine","010500021004"
"Maine","010500021005"
"Maine","010500021006"
"Maine","010500021007"
"Maine","010500021008"
"Maine","010500021101"
"Maine","010500021102"
"Maine","010500021103"
"Maine","010500021105"
"Maine","010500021106"
"Maine","010500021107"
"Maine","010500021108"
"Maine","010500021109"
"Maine","010500021110"
"Maine","010500021111"
"Maine","010500021201"
"Maine","010500021202"
"Maine","010500021203"
"Maine","010500021204"
"Maine","010500021205"
"Maine","010500021206"
"Maine","010500021207"
"Maine","010500021208"
"Maine","010500021209"
"Maine","010500021210"
"Maine","010500021211"
"Maine","010500021212"
"Maine","010500021213"
"Maine","010500021214"
"Maine","010500021215"
"Maine","010500021301"
"Maine","010500021302"
"Maine","010500021303"
"Maine","010500021304"
"Maine","010500021401"
"Maine","010500021402"
"Maine","010500021403"
"Maine","010500021404"
"Maine","010500021405"
"Maine","010500021406"
"Maine","010500021407"
"Maine","010500021408"
"Maine","010500021409"
"Maine","010500021410"
"Maine","010500021501"
"Maine","010500021502"
"Maine","010500021503"
"Maine","010500021504"
"Maine","010500021505"
"Maine","010500021506"
"Maine","010500021507"
"Maine","010500021508"
"Maine","010500021509"
"Maine","010500021601"
"Maine","010500021602"
"Maine","010500021701"
"Maine","010500021702"
"Maine","010500021703"
"Maine","010500021801"
"Maine","010500021802"
"Maine","010500021803"
"Maine","010500021901"
"Maine","010500021902"
"Maine","010500021903"
"Maine","010500021904"
