HUC12,Lake_Chla,Obs_HABs_Treat_Num,Obs_HABs_Treat_Risk,Obs_Deficiencies_n,Obs_AltSource,Obs_Cyano_ugl,Obs_DBP_Viol_n,Obs_Tot_Carbon_tt_n,Obs_turb_exceed_n,Obs_RTCR_mcl_n,Obs_HAB_DW_Risk,Obs_DW_Ops_Risk,Obs_Lake_Risk,Obs_DW_Viol_Risk,Pred_Cyan_ugl,Pred_DBP_freq,Pred_DWOps_Risk,Pred_Lake_Risk,Pred_HABDW_Risk,Est_HABDW_Risk,Est_DWOps_Risk,Est_Lake_Risk
10600030903,5.054211286,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.19920228,0,0.061964527,10.52320606,0.347652686,0.211937317,0.482616481,0.291793765,0.206022856,0.221439078
10600031102,4.344256026,NA,NA,NA,0,0.07,0,0,0,0,0.295696064,0.179785535,0.198093072,0.004166667,0.08844343,6.96217451,0.231580811,0.198449718,0.425236189,0.182051225,0.071054188,0.22020605
10600031103,4.363475656,NA,NA,NA,0,0.07,0,0,0,0,0.295696064,0.179785535,0.198046278,0.003125,0.088116207,7.13167451,0.231827051,0.198431451,0.426149301,0.182022032,0.071054188,0.220154033
10700010501,3.611441091,10,0.822222222,0,1,NA,0,6,0,0,0.438678427,0.370294319,0.192695377,0.0125,0.084111618,7.895519048,0.370180022,0.192819321,0.438367525,0.325860756,0.252060244,0.214205815
10700010502,3.611441091,10,0.822222222,0,1,NA,0,6,0,0,0.438678427,0.370294319,0.192695377,0.0125,0.084111618,7.895519048,0.370180022,0.192819321,0.438367525,0.325860756,0.252060244,0.214205815
10700020101,2.833636953,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.195246989,0,0.049094382,5.331924009,0.349165585,0.202002751,0.481141271,0.289326194,0.206022856,0.217042261
10700020104,2.833636953,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.195246989,0,0.049094382,5.331924009,0.349165585,0.202002751,0.481141271,0.289326194,0.206022856,0.217042261
10700020108,3.611441091,10,0.822222222,0,1,NA,0,6,0,0,0.438678427,0.370294319,0.192695377,0.0125,0.084111618,7.895519048,0.370180022,0.192819321,0.438367525,0.325860756,0.252060244,0.214205815
10700020109,3.611441091,10,0.822222222,0,1,NA,0,6,0,0,0.438678427,0.370294319,0.192695377,0.0125,0.084111618,7.895519048,0.370180022,0.192819321,0.438367525,0.325860756,0.252060244,0.214205815
10700020110,3.583722556,NA,NA,NA,1,NA,0,6,0,0,0.438678427,0.370294319,0.186858262,0.00625,0.066425657,11.59018095,0.400920669,0.189367883,0.495815271,0.303461827,0.228991457,0.207717106
10700020201,3.583722556,NA,NA,NA,1,NA,0,6,0,0,0.438678427,0.370294319,0.186858262,0.00625,0.066425657,11.59018095,0.400920669,0.189367883,0.495815271,0.303461827,0.228991457,0.207717106
10700030103,2.461192833,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.197344921,0,0.058423941,11.14867273,0.341191868,0.207707287,0.458198603,0.290635022,0.206022856,0.219374383
10700030106,2.461192833,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.197344921,0,0.058423941,11.14867273,0.341191868,0.207707287,0.458198603,0.290635022,0.206022856,0.219374383
10700030203,3.730321451,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.196707544,0,0.060515757,5.194657343,0.347543438,0.202298838,0.464933202,0.290237385,0.206022856,0.218665857
10700030301,3.730321451,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.196707544,0,0.060515757,5.194657343,0.347543438,0.202298838,0.464933202,0.290237385,0.206022856,0.218665857
10700030302,2.207110761,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.194159462,0,0.052615326,11.79930606,0.348575959,0.20158654,0.468815755,0.288647723,0.206022856,0.215833334
10700030404,2.207110761,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.194159462,0,0.052615326,11.79930606,0.348575959,0.20158654,0.468815755,0.288647723,0.206022856,0.215833334
10700030503,2.52755001,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.194077291,0,0.04950579,6.133924009,0.347798252,0.2003281,0.471597742,0.288596459,0.206022856,0.21574199
10700030603,4.277317049,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.195195835,0,0.038938203,4.173021123,0.360530321,0.202767489,0.482189268,0.289294281,0.206022856,0.216985396
10700040101,5.185214404,NA,NA,NA,0.6,0.062727273,16,0,0,0,0.434776332,0.367777263,0.197523746,0.003047619,0.108537186,39.39583016,0.268404759,0.20175979,0.456608328,0.259358014,0.163446638,0.21957317
10700040102,4.955694563,NA,NA,NA,1,0.062727273,0,0,0,0,0.434776332,0.367777263,0.197042682,0,0.099989386,33.10486032,0.356752944,0.198756831,0.476509542,0.304724734,0.223583029,0.219038405
10700040103,5.364750096,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.19823021,0,0.066914741,7.535253175,0.345588986,0.206067859,0.471564222,0.291187324,0.206022856,0.220358496
10700040201,4.777509051,NA,NA,NA,1,NA,0,0,0,0,0.436509429,0.369286024,0.196322421,0,0.092735639,55.53537143,0.366047747,0.197196012,0.478535654,0.305809198,0.22546939,0.218237742
10700040202,5.135721416,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.197887844,0,0.062362067,6.419988889,0.345579898,0.206551556,0.467847911,0.290973733,0.206022856,0.219977912
10700040203,4.231391585,8,0.666666667,0,1,0.07,10,0,0,0,0.397016485,0.318955937,0.191460316,0.00952381,0.079527772,9.057804762,0.333829202,0.19292118,0.403887706,0.361662462,0.295408164,0.212832884
10700040301,5.334853848,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.196685013,0,0.071265127,9.117925397,0.347713911,0.203610831,0.465080694,0.290223329,0.206022856,0.218640811
10700040402,6.354775821,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.198691169,0,0.065761788,8.198714286,0.34714533,0.20919617,0.476636082,0.291474901,0.206022856,0.220870912
10700050101,7.12394091,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.223535921,0,0.072234799,6.436247619,0.351417842,0.207703967,0.4845661,0.306974694,0.206022856,0.248489064
10700050102,5.59604015,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.198178826,0,0.070499498,7.22375873,0.355636175,0.205983567,0.472480024,0.291155267,0.206022856,0.220301377
10700050103,6.061994212,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.198738273,0,0.074562377,9.148047619,0.352508675,0.207808121,0.475334451,0.291504287,0.206022856,0.220923274
10700050202,4.495001015,NA,NA,NA,1,0.07,10,0,0,0,0.397016485,0.318955937,0.193286661,0.006349206,0.075006634,7.130385714,0.357474956,0.193520903,0.476750838,0.305226182,0.224598541,0.214863102
10700050203,4.664567691,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.197263454,0,0.056515937,5.303506838,0.352918221,0.203883039,0.469132952,0.290584198,0.206022856,0.219283823
10700060301,4.277317049,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.195195835,0,0.038938203,4.173021123,0.360530321,0.202767489,0.482189268,0.289294281,0.206022856,0.216985396
